Restaurant Name,cuisine,location,avg_price,price_norm
2020 multicuisine restro tandoori  pizza hub,multi cuisine,lainchaur,442.95072463768116,0.9928335857020905
24 hours chinese  japanese cuisine,chinese  japanese,thamel,2059.578313253012,0.9656983160567603
3d art restaurant  boudha,fast food,boudha bus stop,491.54040404040404,0.9920180026563363
4 corners  detroit style pizza,italian,sanepa,754.5138888888889,0.9876039641534751
a cafe  anamnagar,multi cuisine,anamnagar,390.43243243243245,0.9937151109403937
a cafe  shiva chowk,multi cuisine,shiva chowk gokarneshwor,390.4120879120879,0.9937154524253771
a cafe  teku,multi cuisine,teku,381.32911392405066,0.9938679111302035
a one cafe  boudha,multi cuisine,boudha,432.9017857142857,0.9930022582332635
a one cafe  dhumbarahi,multi cuisine,dhumbarahi near sankha park,573.348623853211,0.9906448428021696
a one cafe  nayabazar,multi cuisine,nayabazar,466.79824561403507,0.9924333024725928
a one cafe  sankhamul,multi cuisine,sankhamul,382.3751219512195,0.993850353771868
a one cafe sekuwa  burger house sukedhara,multi cuisine,sukedhara,540.3429752066115,0.9911988461992114
a one tajmahal food cafe,multi cuisine,basundhara,287.8385416666667,0.9954371605388898
aamas kitchen,biryani  tandoori  kathi roll,chhetrapati,549.051724137931,0.9910526689026041
achaar ghar  kamalpokhari,nepali,kamalpokhari,590.9090909090909,0.9903500884555193
achaar ghar bhaisepati,nepali,bhaisepati,590.9090909090909,0.9903500884555193
aero lounge  bar,multi cuisine,airport gate sinamangal,486.5966386554622,0.9921009842952297
ageno thakali  momo station,multi cuisine,boudha,324.5378151260504,0.9948211592482269
ai la lounge,multi cuisine,kumaripati,545.7411764705882,0.9911082368047354
alchemy pizzeria,italian,thamel,859.1265151515152,0.9858480298604237
alchemy restaurant,fast food indian,soltimode kalimati,634.1538461538462,0.9896242205422309
alev kebab sultanate,middle eastern cuisine  halal,tangal,846.9010989010989,0.9860532347999025
alice restaurant  bakhundol,nepali,bakhundol,528.6125654450262,0.991395742401016
alice restaurantgairidhara,nepali,gairidhara,530.283422459893,0.9913676968845616
alobar 1000,tibetan  nepali  bhutanese,thamel,384.22727272727275,0.993819265219943
aloft kathmandu,multi cuisine,chhaya devi complex thamel,1249.0393700787401,0.9793033002448089
always happy food co vegan vegetarian,vegan  veg,mandala street thamel,513.4051724137931,0.9916510001446122
ambience lounge  restro,multi cuisine,satdobato salesberry buliding,549.8514492753624,0.9910392454293198
amore pizza  koteshwor,italian,koteshwor,430.37735849056605,0.9930446310183737
anatolia  halal,indian  turkish halal,jp road thamel,660.6451612903226,0.9891795609406318
angan  baluwatar,indian,baluwatar,636.6098901098901,0.9895829955776951
angan  battisputali,indian,battispputali,768.9212598425197,0.9873621348673363
angan  boudha,indian,boudha,323.2264957264957,0.9948431698867616
angan  kamalpokhari,indian,kamal pokhari,339.501976284585,0.9945699841780299
angan  lazimpat,indian,lazimpat,616.3418367346939,0.9899231970547668
angan  new baneshwor,indian,new baneshwor kathmandu,307.2752808988764,0.9951109127599911
angan  new road,indian,new road,303.9528795811518,0.9951666796269315
angan  putalisadak,indian,putalisadak,293.88535031847135,0.9953356641989682
